description;paragraph
How to practice if the other person doesn't seem to have much suffering in their life;"We've opened up to all the categories now, or you can take them in order or whatever you like. But sometimes when we're in the compassion practice, we notice, ""Well, I'm giving compassion to this person. They actually don't seem to have much suffering in their life, and there's really not much there."" That's valid, and we don't need to kind of imagine scenarios for them or imagine that they're sitting on some repressed volcano of suffering that needs to come up from their unconscious. You know, it may be the case, but … [laughter] The compassion practice doesn't need that. When there's no obvious suffering, we can just bring to mind a kind of sensitivity, a quietening, a sensitivity. Bring to mind that it's not easy being human. It's not easy just being alive. We share a kind of vulnerability. We share uncertainty. We share the challenges of being alive. We don't need to create suffering for someone. Or just to admit: I actually don't _know_ what suffering you have in your life, what suffering you have had. I don't know what suffering is going on right now, maybe that I'm completely unaware of. I don't know what will befall you in the future. And it's that kind of ""I don't know, but I know that being human, you need and are going to need compassion."" ^11-2"
Seeing the oneness in the commonality;"Again, bringing in this commonality, this sense of oneness. So you can actually reflect in the practice: you know, we _are_ one, we are one in all kinds of ways. At a very mystical level, certainly we are one. But in the level that we're all vulnerable, we have bodies that are vulnerable to injury, to sickness, to decay, ageing, to death. Just to reflect that we share that; really bring it in in a conscious way, as a way of supporting the compassion. Seeing the commonality, seeing the oneness. And yeah, we share death. We share, as I said, an uncertainty, that life really _is_ uncertain. And I'm sure we all know people that - or maybe ourselves - that some news or some thing has happened, and the life has been changed dramatically from one moment to the next, and we didn't know that was going to happen that morning. This is what it is to be alive, and to be in the field of the infinite web, in the field of dependent origination: that we live in an uncertain world that can change, and change dramatically, suddenly. ^11-3"
We share avijja;We're also one in that we share a kind of bewilderment with all of this. So what the Buddha calls avijjā - we don't fully, deeply, in our hearts, in our cells, yet, completely understand about suffering: why, how suffering arises, how we make suffering. And we share that until we're completely awakened. We share that, share that misunderstanding of life, of suffering, and also of what it is that _really_ leads to happiness. So we can understand that intellectually, but actually, at another level, we're not really that clear about it or convinced of it. And so we can see that oneness, and bring that reflection of oneness in, and allow it to find its outflow in the compassion practice. ^11-4
We need to touch suffering with compassion, and also see the commonality and the oneness;"We need, as I said, to touch the suffering of life with the compassion practice, and also to see the commonality and see the oneness. There's a beautiful poem that, in a way, speaks about this. Some of you may know it. It's by a poet called Naomi Shihab Nye. It's actually called ""Kindness,"" but I think that what she's really talking about is compassion.^[Naomi Shihab Nye, _Words Under the Words: Selected Poems_ (Portland: Eighth Mountain Press, 1995). Archived at [https://web.archive.org/web/20201004093657/https://poets.org/poem/kindness](https://web.archive.org/web/20201004093657/https:/poets.org/poem/kindness), accessedOct. 2020.] ^12-1"
"""Kindness"", by Nye";[56:07 - 57:46, poem] ^12-2
A way of regarding a person as empty is to say they are infinite;I just want to say one final thing about bringing emptiness of self into the compassion practice, another possibility. Sometimes when we talk about emptiness, and the very word, it sounds like there's nothing there, or it sounds quite nihilistic or dry or whatever. Another kind of angle is almost to regard a person that is empty, another way of saying it is: they are infinite. A person is infinite. The nature of a person is infinite. ^12-3
We were all borne from the same supernova;So what do I mean? If we reflect on this body, the science tells us all of us in this room share molecules that make up whatever it is, our nails and teeth and skin and all the complex functioning of the body. The molecules were actually all created in the same supernova explosion of some star that exploded a long time ago and kind of drifted in this cloud to the earth. Those molecules were all in the same star at one point. And going back way further, the whole universe was kind of compressed into one little, _very,_ very small - with the Big Bang. It was all literally one thing, one fabric. ^12-4
We breathe the same air molecules as everyone before us;And we reflect: in the Present moment, we are breathing the same air. Just through the course of this talk probably we've all breathed - 99.9 per cent of the air molecules have been in and out of each of us. That means there are very few air molecules in this room right now that have not been in and out of every person. [laughter] And as someone told me, right now, there's something like a 99.9 per cent probability that your next breath contains air molecules from the dying breath of Jesus on the cross. Things like that, you know. But we are in a constant - the air molecules come in, and they become our body. The oxygen goes into the bloodstream. We tend to see barriers and walls and discrete entities. When we look deeper, there _are_ no barriers. It's a very fluid, amorphous, non-separate thing, this body. ^12-5
At what point become food us?;Food - so Stephen Batchelor has this example of eating a banana. You're chewing the banana, and then you swallow it. Bananas being very mushy, at what point does the banana become _you_? [laughter] When it's being absorbed, and there's sort of mush in there, when does it kind of become you, and when is it still 'the banana'? It sounds funny, I know, but it's really worth reflecting on this kind of thing! [laughter] ^12-6
Oneness is a poetic mystical insight;"The poet Walt Whitman has this famous line, ""I believe a leaf of grass is no less than the journey-work of the stars.""^[Walt Whitman, _Leaves of Grass_ (New York: Knickerbocker Press, 1902), 70.] He wrote that in 1855. I don't know what the kind of current astrophysical knowledge at that point was, but I don't think they knew about supernovas and that kind of thing. There's some kind of poetic mystical insight that he was having. And this actually _is_ one system, in one way. And Thích Nhất Hạnh speaks a lot about this kind of way of seeing in his teaching. ^12-7"
Non-separation as corrolary to the mind having perceptions;There's another level, though: the oneness of the mind, the non-separateness of the mind. Minds have perceptions. So right now, there's colour, light. You're seeing these forms, whatever. There's a sound. There's the perception right now. Then there's body sensation, there's all of that, or inner perceptions. No perception, no mind. They go together. To have a mind, you need to have a perception. If there's no world, there's no perception and no mind. The mind is inextricably linked up with what it perceives, which is the universe. Mind is not separate from the world. It _feels_ separate. Self feels separate from others, from the world, from the universe. Mind feels separate. This is the great delusion. Not separate. ^12-8
This is not just a cute intellectual idea, but can come into the practice on a very real level;"So all of this, at first, you know, it can sound like, ""Well, that's a nice, cute intellectual idea. Maybe the next time I find myself at a cocktail party with nothing to say, I'll sort of strike up that as a conversation."" And then watch the people wander away! [laughter] It's really not supposed to be just an intellectual idea. To begin actually inclining the mind towards that kind of reflection. It can begin to come into the practice on a very real level, and begin breaking the barriers. ^13-1"
Emptiness is fullness, mind and world interpenetrating, beyond  interconnectedness;"Another way of saying emptiness - maybe it's someone's phrase; I don't know who, but - emptiness is fullness. There's a way that this being, these beings, you cannot separate them, mind or body, from the whole rest of the universe. There's no real place where it breaks and cuts off. Emptiness is fullness. We are not separate. It goes even beyond interconnectedness. There's a way that things are just interpenetrating when we really go deep into this. Interpenetrating. Beyond interconnected. Completely interpenetrating. Mind and the world are interpenetrating. ^13-2"
It's a long-term practice to reflect this way;So over time we can bring these kind of reflections in. It's comes into the practice. It's a practice to reflect this way. But the outcome (except social ostracization!) is love and compassion. Looking this way, beginning to reflect this way, opens the heart to love and compassion. ^13-3
Yogi: There's more attachment to what comes up;Yogi: I was sort of reflecting that, in a sense, the sort of enemies of compassion are more problematic when one's working, one's giving compassion to oneself rather than to someone else or the universe. Because, in a sense, there's more attachment, you know, to what comes up. And I was wondering if we could perhaps explore that a little bit more. Because, in a sense, I see the value in giving compassion to myself, but the possibility of then getting caught up in grief or sadness or whatever when things are seen … ^13-8
Rob: Giving compassion to oneself is important for healing and insight;"Rob: Yeah, it's true. I think that would be quite a common pattern to get more caught up inside. But not everyone. People are different in their patterns. Some people get more caught up with, ""Everyone else is wrong, and I'm okay."" So this is important. Firstly, I like to encourage people to give quite a lot of compassion to themselves because of the healing involved, but also because it really does open up as a very deep avenue of insight, as well, into one's own particular patterns and how one gets caught. So there's that. So yeah, by all means, spend a lot of time on compassion to yourself if you feel drawn that way. ^13-9"
Because of the well-being involved, that also supports samadhi;Going back to what I was saying about this balance between empathizing and the sort of healing or the kind of feeling the well-being going out: if one's taking care of that balance, one will also take care of the samādhi involved. Because you're tuning into what's nice, there will be loveliness to what's going on, in some quiet way, and there will be a settledness there. In that settledness, part of the result of the samādhi will be less tendency to create problems. That's what goes with samādhi. But also when there _are_ problems, to see them more clearly and more spaciously. ^14-1
Near enemies will come up, that's human;"So if you're practising compassion with the right kind of balance, it's good - you're actually opening up to the kind of things you would do in your life anyway, but seeing them more spaciously, more clearly, because they're less … And as I said with the near enemies, not to think they shouldn't come up; actually they _do_ come up. They _will_ come up. It's human, and if we can just include that as part of the practice, this is very much in the field of what developing compassion _is_: actually looking at what's not quite compassion, and being willing to discern the difference and practise with it. So they're not problems to shoo out the door too quickly, necessarily. ^14-2"
Yogi: What to do when one is caught in attachment?;Yogi: Yeah. I suppose one of the things that … keeping that balance, as well, seems more difficult when working with oneself. That would be another thing that I'd be including in that question. And so in a sense there's also the issue of, if one has got caught, what would you recommend - to move to practising compassion to others, or maybe work in a more open way? What would you suggest? ^14-3
Rob: Anything really;Rob: Anything really. Sometimes you can just shift the near enemy. Like you notice, say you're blaming yourself for some suffering that arises, then actually seeing, taking a moment in the practice to reflect: it wasn't self's fault. It was all the conditions, and the past conditioning, and the present, and the situation, outer and inner, that actually led or are leading to what's happening. And just taking a moment to reflect, that can soften it, and then you can, in that softening, take up the compassion again. That might be one possibility. Sometimes it's skilful to actually go and work with someone else for a while and then come back. Sometimes you might want to open up the practice, as I know you do, and just open that and get that kind of letting go there, and then come back. If you can stay within the practice, if you decide I'm doing regular compassion practice and I'm within that, you can just kind of move to a sense of seeing the causes and conditions a bit more widely. And then the softening, and then coming back. That might be preferable. But they're all valid. ^14-4
Near enemies will come up, that's human;Rob: Absolutely. I mean, the near enemies _will_ come up, and they're to be worked with - to be seen, to be understood, to be worked with. And as I said, it's part of being human. ^14-6
Yogi: How can you have action without attachment to results?;Yogi: I wonder a lot about action that is born out of compassion. I can be in that space feeling very compassionate toward suffering in the world, and quite equanimous and spacious with it. But then when the question of action comes in, and this big thing in my life, actually, that's where the equanimity goes. Because how can you have action without attachment to results? Because if you're not attached to results, then how can you be motivated for the action? If you _are_ attached to the results, that is when it becomes overwhelming. ^15-1
Rob: In our practice it's going to be shifting, and in the world as well;"Rob: Yeah, sure. Again, it's not that we find one static place with all this, and it's like, ""Okay, sorted out my compassion and my equanimity. It's all kind of fixed there."" It's more that the whole thing is going to be shifting. So in our practice it's going to be shifting, and in the world it's going to be shifting. Sometimes we decide we want to do something to help, to be of service, and there _is_ attachment there. Sometimes we're aware of the attachment, sometimes not. But I would say, don't _not_ act just because there's attachment there. It's more like over probably years of practice, one learns to practise with there being attachment there, and kind of softening the attachment, going back and forth, softening the attachment but still working or whatever. So the presence of attachment, it shouldn't hinder one from acting. One acts anyway, and then the attachment is in one's field of practice at that point. ^15-2"
"Less attachment doesn't necessarily mean indifference; it's all empty";"It might be that then one's acting, and it moves between quite attached and then having to be quiet and regain and find less attachment. Even the less attachment, one can say, ""Well, I want to do something to help."" Less attachment doesn't necessarily mean indifference; there's also _that_ that might come up. It's actually moving between attachment and indifference, can be. All of this is going to happen. And in a way, it's just like saying, ""Okay, I'm going to act. I know it's all going to come up, and I'm going to practise with it as it comes up."" At a very deep level, I actually feel that it _is_ possible to act in the world, to want to help suffering, realizing that it's all completely empty. There's no me doing it. There's no person receiving it. There's no action. There's not even any suffering in a _real_ sense. It's all completely empty. And yet what should come out of seeing that emptiness is the desire to act. Seems paradoxical. In terms of one's practice it will move, and then it's a question of practising with that. ^15-3"
Yogi: How to keep the energy when it becomes overwhelming in the action?;Yogi: Yeah, I think I'm more concerned about keeping the awareness in the action, rather than how to deal with it sitting on the cushion, how to keep the energy, you know. It's just overwhelming. You try whatever, and there are more hindrances than anything else. ^15-4
Yogi: The biggest hindrance is the sense of self;Yogi: The biggest hindrance is the sense of the self. ^16-2
Rob: No self can sound abstract, but with practice it become more workable and more real in a moment of action;Rob: I think that what happens with these practices, and sometimes a lot of stuff that I've said today can sound completely abstract, you know - no self, no boundaries and everything. I think what happens is, after a while, it becomes something that's much more workable in a moment as we're moving through action, and more real. But, I don't know, that takes practice. It takes practice. Is there a particular - I mean, you don't have to say what it is, but is it a particular situation you're thinking of? ^16-3
"Like with the SUV story: ""Ill-will is not ok""";"Rob: It's like my story of the SUV thing. It was coming up, but really trying to challenge it. Like saying, ""It's not okay that I'm walking around like this with bad feeling and ill-will and all of that. It's just not okay."" ^16-5"
Yogi: But SUVs are still there...;Yogi: SUVs are still there. ^16-6
Rob: We are not completely in control of what will happen, but acting out of compassion is still the best way to live;Rob: They are. But it's also like, first of all, I don't know what the emissions law on SUVs is now in America. But I think one can come to a point in practice where it feels like some of the stuff that we care about and move towards changing is actually not going to change in the world. For instance, like climate change. Who knows what's going to happen with that? But still, to be in the world with compassion, acting out of compassion is the best way to live. There's just no doubt about it. And we don't know what will happen. This is where the equanimity comes in - we actually are not completely in control of what will happen. Again, it's an infinite web of conditions. It's not just in our control. Somehow, as compassion deepens, the equanimity comes more and more into the practice. But even if something's not going to change, it's still that being in the world, viewing the world, and acting out of a place of compassion is just the best way to be. There's nothing that comes close to it. We can be angry or we can be indifferent or we can be selfish or whatever, but compassion is the best. And we don't know what will happen. We'll be speaking more about equanimity a bit later in the retreat. It's a hard one. It is a hard one. I really feel that we have to challenge it, though. In the moment, we have to challenge it. ^16-7
Yogi: I feel I need to connect with mettā before being able to be in the compassion space;Yogi: In the sessions, I'm mixing quite a lot of mettā and compassion. What I understand is that compassion is born from mettā. It's just mettā meeting suffering. So I feel I need to connect with mettā before being able to be in the compassion space. So in the sessions, there's quite a lot of time with mettā before going to compassion. Is that …? ^16-9
"Rob: Be clear what the difference is; get more and more used to the feeling of compassion";Rob: Okay. There are a couple of ways - it's fine. I think I would rather you could do just more straight compassion so you could be really clear about what the difference is. But it's fine if that goes on. You might want to just be aware of someone's suffering, kind of just sit with that, and see what the response is, and see what comes. Can be really skilful. Or, in the context of compassion, you're actually not getting so sucked in immediately to where the really strong suffering is. So you're thinking of the friend or the benefactor, whatever it is, and you're just aware of their being, and the fact that they're human and everything, and there's a quality of - it's almost like mettā, but you're just aware that life has suffering in it, too, and then you're giving it, and then you can turn a bit more and include what might be more obvious suffering. Does that make sense? But it's not too much of a big deal. If you can kind of whittle down the time spent on mettā and make it more compassion, that would also be good. Just get more and more used to the feeling of compassion, so that you can cue into that more readily. Yeah? Was that your question? Okay. ^17-2
Yogi: start swapping, or stay with one category each day?;Yogi: With the categories, could you start to sort of swap and change now? Or is it more useful to just stay day by day? ^17-4
Rob: You can swap and change as you like;Rob: You can swap and change as you like. I mean, I think John said yesterday, hopefully, that you've got _this_ much time to work through the categories. Did he say that? ^17-5
Also to all beings, but come back to particular beings as well;Rob: No, not at all. Go for it if that feels more appropriate. And sometimes the samādhi does feel better, it feels there's more equality there with just openness and all beings, and do that. But do come back to particular beings as well. Is that clear? ^18-3
You want to take care to make the practice easy;Rob: That's fine. Again, you want to take care of making the practice easy. If it feels like I'm not really connecting with anything here … ^18-5
A space radiating compassion;"So again, if you go to all beings in the next few days, there are all those ways I said. You can just be in a space of compassion. Just random images of beings or what you might have seen on the news or newspaper or whatever, or beings that you know or don't know may just come in and go, and come and go. But the space is quite important. Just a space radiating compassion. Sometimes it can feel like you're just resting in that space, and there's very little doing, very little phrases. It's just sort of not doing much; it's just a space of compassion. That can be very helpful. Sometimes, again to emphasize, to be as much as possible in the body with it. So it's almost like the body becomes compassion. It's just radiating out compassion. You've become compassion. Can happen sometimes. ^18-8"
"Yogi: The ""other people"" category for practising mettā might not be suitable for practising compassion";Yogi: … swapping the categories. The categories I use for practising mettā might not be as suitable as other people practising compassion. ^18-10
Rob: realise how subtle suffering can be;Rob: That's a really important question. Take maybe two or three people in the very obvious suffering category, so that might include this newspaper story. But I would say you actually want to keep the others in the other categories, because what we're moving to is a kind of compassion that's universal in the sense that it doesn't actually just restrict itself to very dramatic, obvious suffering. It's actually something just, there's a sensitivity that develops that - it's just realizing how subtle suffering can be, and that's also something that we have compassion for. And it might be a very beneficial spiritual stretch to actually stretch and just begin seeing this oneness, this commonality. That's actually a really good way of stretching the heart that way. But if you want to add maybe one or two more people to the obvious category, that's fine. Okay. ^18-13
Yogi: Is it ok to exclude Georbe Bush? 😀;Yogi 2: When working with all beings, is it okay to exclude George Bush? [laughter] ^19-1
Who? No! 😀;Rob: Who? [laughter] No, it's not okay! [laughter] Any quick last ones before lunch? Okay, let's just have a minute of silence before lunch. ^19-2
